,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
113,Оксана Васильева,realtor,https://www.cian.ru/sale/flat/301463801/,Москва,sale,flat,21,25,3,77.4,-1,0,22900000,Очаково-Матвеевское,Большая Очаковская ,3,Аминьевская,Мичурино
114,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779271/,Москва,sale,flat,4,8,3,70.0,-1,0,62899371,Хамовники,Смоленский бульвар,22/14,Смоленская,
115,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291967807/,Москва,sale,flat,5,6,3,106.4,-1,0,94000000,Хамовники,Комсомольский проспект,9А,Парк Культуры,Николаевский дом
116,WHITE BROKER,real_estate_agent,https://www.cian.ru/sale/flat/299899341/,Москва,sale,flat,13,16,3,65.0,-1,0,14500000,Чертаново Южное,Варшавское шоссе,154К4,Аннино,
117,HOMETOWN REALTY,real_estate_agent,https://www.cian.ru/sale/flat/299317154/,Москва,sale,flat,2,22,3,81.2,-1,0,21750000,Митино,Пятницкое шоссе,12к3,Волоколамская,
118,BY Moscow City,real_estate_agent,https://www.cian.ru/sale/flat/281696626/,Москва,sale,flat,50,75,3,212.0,-1,0,105000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
119,ID 61410788,unknown,https://www.cian.ru/sale/flat/301812358/,Москва,sale,flat,4,6,3,83.7,-1,0,34000000,Даниловский, Серпуховский Вал,28,Шаболовская,
120,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/297039409/,Москва,sale,flat,9,21,3,116.8,-1,0,125700000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
121,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301219445/,Москва,sale,flat,3,6,3,118.9,-1,0,240000000,Хамовники,Бутиковский переулок,3,Парк Культуры,Коппер Хаус
122,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300640756/,Москва,sale,flat,5,6,3,47.0,-1,0,18500000,Мещанский, Гиляровского,56,Проспект Мира,
123,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/290706192/,Москва,sale,flat,2,4,3,137.9,-1,0,296485000,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM
124,Евгений Слинкин,realtor,https://www.cian.ru/sale/flat/288233425/,Москва,sale,flat,3,7,3,74.0,-1,0,27000000,Марьина роща,Октябрьская ,69,Марьина Роща,
125,BERI,real_estate_agent,https://www.cian.ru/sale/flat/299492949/,Москва,sale,flat,8,12,3,65.7,-1,0,24290000,Раменки,Мичуринский проспект,54К2,Раменки,
126,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296026359/,Москва,sale,flat,3,19,3,89.0,-1,0,42000000,Красносельский,переулок Докучаев,2с3,Площадь трёх вокзалов,Волга
127,Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/301734677/,Москва,sale,flat,11,11,3,150.0,-1,0,200000000,Хамовники, Ефремова,10к2,Спортивная,Садовые кварталы
128,Инна Недвига,realtor,https://www.cian.ru/sale/flat/296559364/,Москва,sale,flat,3,22,3,75.5,-1,0,21500000,Северное Тушино, Героев Панфиловцев,7к4,Сходненская,
129,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/293972109/,Москва,sale,flat,53,73,3,239.0,-1,0,185000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
